Player_initial_last,tournament id,player id,hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,made_cut,pos,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,Var.20,Unnamed: 0,player,Unnamed: 2,Unnamed: 3,Unnamed: 4,Var.26,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
B. DeChambeau,401353203,10046,292,276,92,88.8,80,6,22.2,6,4,1,25,4,3,1,102,114,87,139,139,Bryson DeChambeau,NA,NA,NA,2,Sentry Tournament of Champions,"Kapalua Resort - Kapalua, HI",2022-01-09,8.2,2022,1,NA,NA,NA,NA,NA,NA,NA
B. DeChambeau,401366873,10046,288,280,81,73.3,69,3,16,3,4,1,14,6,5,3,90,94.3,75,139,139,Bryson DeChambeau,NA,NA,NA,3,Hero World Challenge,"Albany - New Providence, Bahamas",2021-12-05,3.5,2022,1,NA,NA,NA,NA,NA,NA,NA
B. DeChambeau,401243402,10046,280,274,70.5,65.9,65,3,18.4,3,4,1,7,10,10,7,83.5,94.3,75,139,139,Bryson DeChambeau,NA,NA,NA,13,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,7,-0.18,-0.36,-0.18,1.03,0.49,0.31
B. DeChambeau,401243403,10046,288,261,126,119.7,96,14,31.8,10,4,1,2,20,20,13,160,171.5,119,139,139,Bryson DeChambeau,NA,NA,NA,14,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",2021-08-29,9.5,2021,1,2,2.34,-0.27,-0.13,2.01,1.61,3.95
B. DeChambeau,401243404,10046,284,276,88,78,64,0,20.8,0,4,1,31,2,1,0,90,99.8,64,139,139,Bryson DeChambeau,NA,NA,NA,15,Northern Trust Open,"Liberty National - Jersey City, NJ",2021-08-23,9.5,2021,1,T31,-0.69,-0.71,0.8,1.29,1.39,0.7
B. DeChambeau,401243407,10046,280,268,85.5,81.4,74,6,18.4,6,4,1,8,9,8,6,100.5,107.8,86,139,139,Bryson DeChambeau,NA,NA,NA,17,WGC-FedEx St. Jude Classic,"TPC Southwind - Memphis, TN",2021-08-08,10.5,2021,1,T8,0.85,-0.37,0.84,0.73,1.2,2.05
B. DeChambeau,401243410,10046,280,278,61,55,62,9,13.4,10,4,1,33,2,1,0,72,69.4,72,139,139,Bryson DeChambeau,NA,NA,NA,20,The Open,"Royal St. George's Golf Club - Kent, England",2021-07-18,11.5,2021,0,NA,NA,NA,NA,NA,NA,NA
B. DeChambeau,401243412,10046,144,143,29.5,27.2,31,0,1,0,2,0,NA,0,0,0,29.5,28.2,31,139,139,Bryson DeChambeau,NA,NA,NA,22,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",2021-07-04,7.5,2021,0,CUT,-0.28,-0.02,-1.8,1.47,-0.35,-0.62
B. DeChambeau,401243413,10046,280,273,62.5,60.8,73,0,5.8,0,4,1,19,5,4,2,67.5,70.6,75,139,139,Bryson DeChambeau,NA,NA,NA,23,Travelers Championship,"TPC River Highlands - Cromwell, CT",2021-06-27,7.4,2021,0,T19,0.69,-0.23,0.21,0.82,0.8,1.5
B. DeChambeau,401243414,10046,284,287,61,51.3,57,3,10.6,4,4,1,26,3,2,0,67,63.9,61,139,139,Bryson DeChambeau,NA,NA,NA,24,U.S. Open,"Torrey Pines South - La Jolla, CA",2021-06-20,12.5,2021,0,T26,1.33,-2,1.3,0.9,0.2,1.53
