course,par,yardage,yardage_4_5,yardage_3,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_penalties,adj_ob
"Ocean Course at Kiawah Island",72,7671,489,207,36.7,undefined,undefined,undefined,0.0616,292.7,17.8,0.6448,2.5,0.29,0.21,-0.17,undefined,undefined
"Torrey Pines South (U.S. Open)",71,7635,490,194,28.9,undefined,undefined,undefined,0.0111,300.5,17.8,0.4873,2.53,0.18,0.2,-0.13,undefined,undefined
"Torrey Pines GC (South)",72,7567,485,194,26.2,undefined,undefined,undefined,0.0154,287.2,15.6,0.6073,1.15,0.1,0.17,-0.24,undefined,undefined
"Quail Hollow Club (PGA Championship)",71,7488,476,208,31.4,undefined,undefined,undefined,0.0469,290.1,19,0.6505,2.68,0.22,0.24,-0.26,undefined,undefined
"Crooked Stick GC",72,7474,478,195,35.2,undefined,undefined,undefined,0.0584,284.2,16.1,0.6789,-0.39,0.13,0.06,-0.38,undefined,undefined
"Medinah Country Club (No. 3)",72,7470,477,199,28.1,undefined,undefined,undefined,0.0147,290.7,18.5,0.6663,-1.29,0.05,0,-0.37,undefined,undefined
"Trump National Doral",72,7469,477,198,35.9,undefined,undefined,undefined,0.0578,284.9,19,0.5699,1.8,0.19,0.17,-0.17,undefined,undefined
"Augusta National Golf Club",72,7441,479,184,46,undefined,undefined,undefined,0.0184,294.2,20.4,0.676,1.66,0.18,0.23,-0.33,undefined,undefined
"Caves Valley Golf Club",72,7424,471,209,33.1,undefined,undefined,undefined,0.0094,289.8,17.1,0.6866,-1.87,0.04,-0.05,-0.39,undefined,undefined
"Congressional CC (Blue)",71,7416,474,195,26.7,undefined,undefined,undefined,0.0173,288.2,17.1,0.6362,-0.04,0,0.05,-0.2,undefined,undefined
"Quail Hollow Club",71,7409,474,195,30.8,undefined,undefined,undefined,0.0418,295.1,20.4,0.5813,0.82,0.15,0.12,-0.3,undefined,undefined
"Winged Foot GC",70,7392,470,204,31.9,undefined,undefined,undefined,0.0032,289.3,23,0.4639,4.4,0.29,0.29,-0.11,undefined,undefined
"Shadow Creek Golf Course",72,7361,472,190,30.8,undefined,undefined,undefined,0.0411,296.2,18.1,0.6289,-0.12,0.09,0.06,-0.29,undefined,undefined
"The Summit Club",72,7359,474,181,37,undefined,undefined,undefined,0.0543,298.7,19.6,0.7162,-3.02,-0.03,-0.08,-0.52,undefined,undefined
"Bethpage Black",71,7355,469,196,30.6,undefined,undefined,undefined,0.0059,287.9,17.2,0.6389,1.95,0.15,0.17,-0.24,undefined,undefined
"Bay Hill Club &amp; Lodge",72,7355,464,212,35.3,undefined,undefined,undefined,0.0573,279.7,18.4,0.6835,0.75,0.17,0.13,-0.31,undefined,undefined
"Plantation Course at Kapalua",73,7337,451,190,49.6,undefined,undefined,undefined,0.0707,291.1,20.1,0.7877,-2.03,0.07,-0.03,-0.48,undefined,undefined
"Firestone CC (South)",70,7337,467,200,23.5,undefined,undefined,undefined,0.0013,298.8,22.1,0.5782,1.46,0.09,0.12,-0.18,undefined,undefined
"Congaree Golf Club",71,7336,471,190,51.4,undefined,undefined,undefined,0.0374,304.4,21.3,0.6953,0.07,0.11,0.04,-0.26,undefined,undefined
"The Concession Golf Club",72,7327,465,204,50.3,undefined,undefined,undefined,0.1041,286.1,18,0.6997,0.18,0.15,0.07,-0.28,undefined,undefined
"Golf Club of Houston",72,7319,468,192,32.9,undefined,undefined,undefined,0.0987,280.5,16.6,0.6405,-0.6,0.05,0.03,-0.27,undefined,undefined
"Muirfield Village Golf Club",72,7315,469,186,34.5,undefined,undefined,undefined,0.0602,285.8,17.3,0.7122,0.71,0.17,0.11,-0.26,undefined,undefined
"Whistling Straits",72,7313,467,192,29.6,undefined,undefined,undefined,0.0196,283.7,17.6,0.6631,0.85,0.11,0.15,-0.27,undefined,undefined
"Detroit Golf Club",72,7311,470,182,36.1,undefined,undefined,undefined,0.007,294.9,19.8,0.7069,-1.94,0,-0.05,-0.35,undefined,undefined
"Muirfield Village Golf Club (Workday)",72,7311,470,187,32.9,undefined,undefined,undefined,0.0706,292.2,19.4,0.6627,0.04,0.16,0.05,-0.27,undefined,undefined
"TPC Louisiana",72,7293,463,203,34.7,undefined,undefined,undefined,0.0515,275.5,16,0.7404,-1.68,0.06,-0.05,-0.35,undefined,undefined
"Eagle Point Golf Club",72,7291,470,176,33,undefined,undefined,undefined,0.0305,284.8,16.5,0.6577,0.64,0.11,0.06,-0.11,undefined,undefined
"TPC San Antonio (Oaks Course)",72,7290,467,187,32.1,undefined,undefined,undefined,0.0223,287.5,18.6,0.6434,0.48,0.07,0.09,-0.18,undefined,undefined
"Ridgewood CC",71,7290,467,190,32.6,undefined,undefined,undefined,0.0104,280.2,16.8,0.6265,-0.03,0,0.06,-0.22,undefined,undefined
"Club de Golf Chapultepec",71,7287,464,197,31,undefined,undefined,undefined,0.0152,299.8,27.7,0.6409,0.42,0.17,0.05,-0.27,undefined,undefined
"Olympia Fields CC (North)",70,7284,465,194,26.4,undefined,undefined,undefined,0.0211,297,23.9,0.5522,2.59,0.16,0.18,-0.09,undefined,undefined
"Baltusrol GC",70,7282,461,207,30.2,undefined,undefined,undefined,0.0336,280.4,18.1,0.6585,0.79,0.06,0.09,-0.26,undefined,undefined
"East Lake Golf Club",70,7277,461,205,24.4,undefined,undefined,undefined,0.0194,289.2,16.5,0.6194,0.84,0.14,0.09,-0.42,undefined,undefined
